City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
278,Nago,JP,26.5881,127.9761,75.18,59,3,20.09,clear sky,2022-10-24 03:55:03
279,Ossora,RU,59.2353,163.0719,29.91,86,98,3.27,light snow,2022-10-24 03:55:03
280,Karacakoy,TR,41.4029,28.3834,53.44,72,15,3.62,few clouds,2022-10-24 03:55:03
281,Stokmarknes,NO,68.5646,14.9108,35.56,93,75,8.05,broken clouds,2022-10-24 03:55:04
282,Salina Cruz,MX,16.1667,-95.2,77.67,81,84,4.16,broken clouds,2022-10-24 03:55:04
283,Boguchany,RU,58.3814,97.4531,34.34,68,98,13.49,overcast clouds,2022-10-24 03:55:05
284,Morant Bay,JM,17.8815,-76.4093,78.42,81,52,6.31,broken clouds,2022-10-24 03:55:05
285,Mizdah,LY,31.4451,12.9801,58.15,60,0,1.72,clear sky,2022-10-24 03:55:06
286,Shaowu,CN,27.3409,117.4831,80.94,28,29,5.88,scattered clouds,2022-10-24 03:55:06
287,Freeport,US,40.6576,-73.5832,58.55,83,100,9.22,overcast clouds,2022-10-24 03:50:50
288,Bubaque,GW,11.2833,-15.8333,81.77,72,100,6.78,light rain,2022-10-24 03:55:07
289,Camacha,PT,33.0833,-16.3333,65.62,77,20,10.36,few clouds,2022-10-24 03:55:07
290,Prado,BR,-17.3411,-39.2208,72.05,91,99,3.47,light rain,2022-10-24 03:55:08
291,Aksarka,RU,66.5606,67.7975,28.6,94,100,8.28,overcast clouds,2022-10-24 03:55:08
292,Susanville,US,40.4163,-120.653,37.11,50,0,0.0,clear sky,2022-10-24 03:55:08
293,Klaksvik,FO,62.2266,-6.589,47.32,88,100,20.51,overcast clouds,2022-10-24 03:55:09
294,Khasan,RU,42.4308,130.6434,47.82,39,8,9.53,clear sky,2022-10-24 03:55:09
295,La Paz Centro,NI,12.34,-86.6753,74.16,93,14,4.32,few clouds,2022-10-24 03:55:10
296,Takhli,TH,15.2634,100.3438,89.74,67,7,7.16,clear sky,2022-10-24 03:55:10
297,Nome,US,64.5011,-165.4064,35.17,91,100,10.98,light snow,2022-10-24 03:55:11
298,Lorengau,PG,-2.0226,147.2712,86.43,56,93,6.51,overcast clouds,2022-10-24 03:55:11
299,Namatanai,PG,-3.6667,152.4333,86.83,58,100,2.19,overcast clouds,2022-10-24 03:55:11
300,Jimani,DO,18.4917,-71.8502,75.99,84,54,1.25,broken clouds,2022-10-24 03:55:12
301,Tandil,AR,-37.3217,-59.1332,50.68,80,100,7.96,overcast clouds,2022-10-24 03:55:12
302,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,75,3.44,broken clouds,2022-10-24 03:55:13
303,Jiazi,CN,22.8779,116.067,77.07,64,3,21.47,clear sky,2022-10-24 03:55:13
304,Kouango,CF,4.9934,19.9619,69.13,97,83,2.26,broken clouds,2022-10-24 03:55:13
305,Aykhal,RU,66.0,111.5,27.64,96,100,16.73,snow,2022-10-24 03:55:14
306,Isangel,VU,-19.55,169.2667,77.11,88,100,13.8,overcast clouds,2022-10-24 03:55:14
307,Sorland,NO,67.667,12.6934,39.06,58,100,9.95,overcast clouds,2022-10-24 03:55:15
308,Dhidhdhoo,MV,6.8833,73.1,81.3,79,91,13.58,overcast clouds,2022-10-24 03:55:15
309,Menongue,AO,-14.6585,17.691,62.67,84,84,3.53,broken clouds,2022-10-24 03:55:16
310,Magadan,RU,59.5667,150.8,25.54,57,97,6.35,overcast clouds,2022-10-24 03:54:47
311,Te Anau,NZ,-45.4167,167.7167,44.15,93,100,3.98,overcast clouds,2022-10-24 03:55:16
312,Nanortalik,GL,60.1432,-45.2371,35.53,99,100,16.28,light rain,2022-10-24 03:55:17
313,Ughelli,NG,5.4899,6.0074,73.71,96,94,2.35,overcast clouds,2022-10-24 03:55:17
314,Agucadoura,PT,41.4318,-8.7804,62.91,90,88,13.33,overcast clouds,2022-10-24 03:55:18
315,Pringsewu,ID,-5.3582,104.9744,87.85,62,100,2.42,overcast clouds,2022-10-24 03:55:18
316,Pochutla,MX,15.7432,-96.4661,77.83,88,84,2.93,broken clouds,2022-10-24 03:56:18
317,Samana,DO,19.2056,-69.3369,76.71,89,39,5.91,scattered clouds,2022-10-24 03:56:19
318,Peterhead,GB,57.5058,-1.7981,54.45,98,100,15.57,overcast clouds,2022-10-24 03:56:19
319,Gayny,RU,60.3071,54.3241,35.28,97,100,13.15,light snow,2022-10-24 03:56:20
320,Srandakan,ID,-7.9386,110.2506,84.67,68,99,8.12,overcast clouds,2022-10-24 03:56:20
321,Kosonsoy,UZ,41.2561,71.5508,46.96,72,100,1.01,light rain,2022-10-24 03:56:21
322,Provideniya,RU,64.3833,-173.3,30.31,69,75,4.47,broken clouds,2022-10-24 03:56:21
323,Marawi,PH,7.9986,124.2928,78.8,77,88,5.39,overcast clouds,2022-10-24 03:56:22
324,Tucuma,BR,-0.1833,-50.05,79.3,77,36,8.52,scattered clouds,2022-10-24 03:52:48
325,Kokstad,ZA,-30.5472,29.4241,57.88,91,100,1.59,overcast clouds,2022-10-24 03:56:22
326,Togur,RU,58.3631,82.8265,29.73,81,98,15.39,overcast clouds,2022-10-24 03:56:23
327,Marzuq,YE,14.4,46.4667,71.82,56,4,1.57,clear sky,2022-10-24 03:56:23
328,Odesskoye,RU,54.2111,72.9651,24.69,88,22,11.43,few clouds,2022-10-24 03:56:23
329,La Ronge,CA,55.1001,-105.2842,35.85,64,100,8.05,overcast clouds,2022-10-24 03:56:24
330,Palmital,BR,-22.7889,-50.2175,66.45,75,0,5.32,clear sky,2022-10-24 03:56:24
331,Tiznit,MA,29.5833,-9.5,73.62,14,93,12.71,overcast clouds,2022-10-24 03:56:25
332,Luena,AO,-11.7833,19.9167,60.89,92,70,1.54,light rain,2022-10-24 03:56:25
333,Gezing,AT,47.9178,13.1299,57.15,92,75,2.3,broken clouds,2022-10-24 03:56:26
334,Poum,NC,-20.2333,164.0167,77.4,82,28,25.26,scattered clouds,2022-10-24 03:56:26
335,Smithers,CA,54.7804,-127.1743,37.72,81,100,9.22,light rain,2022-10-24 03:56:26
336,Tuatapere,NZ,-46.1333,167.6833,50.49,60,91,6.08,overcast clouds,2022-10-24 03:56:27
337,Bougouni,ML,11.417,-7.479,73.87,72,73,2.53,broken clouds,2022-10-24 03:56:27
338,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,broken clouds,2022-10-24 03:56:28
339,Emerald,AU,-23.5333,148.1667,90.34,40,50,12.12,scattered clouds,2022-10-24 03:56:28
340,Mangaratiba,BR,-22.9597,-44.0406,68.86,89,100,3.29,overcast clouds,2022-10-24 03:56:29
341,Bengkulu,ID,-3.8004,102.2655,80.55,81,81,5.44,broken clouds,2022-10-24 03:56:29
342,Buala,SB,-8.145,159.5921,82.9,75,95,1.54,light rain,2022-10-24 03:56:30
343,Urumqi,CN,43.801,87.6005,41.95,93,100,4.47,mist,2022-10-24 03:53:41
344,Zhangye,CN,38.9342,100.4517,60.26,22,71,6.49,broken clouds,2022-10-24 03:56:30
345,Touros,BR,-5.1989,-35.4608,77.49,81,14,11.5,few clouds,2022-10-24 03:56:31
346,Labuhan,ID,-6.8844,112.2051,87.89,62,99,4.0,overcast clouds,2022-10-24 03:56:31
347,Sampit,ID,-2.5333,112.95,87.17,62,100,5.44,overcast clouds,2022-10-24 03:56:32
348,Nalut,LY,30.3333,10.85,62.78,39,0,7.76,clear sky,2022-10-24 03:56:32
349,Puerto Princesa,PH,9.7392,118.7353,86.79,63,14,5.03,few clouds,2022-10-24 03:56:33
350,Awbari,LY,26.5921,12.7805,58.32,36,0,5.73,clear sky,2022-10-24 03:56:33
351,Tilichiki,RU,60.4667,166.1,16.52,84,23,7.0,few clouds,2022-10-24 03:56:34
352,Gazimurskiy Zavod,RU,51.5461,118.3266,45.5,37,31,10.11,scattered clouds,2022-10-24 03:56:34
353,Mujiayingzi,CN,42.1167,118.7833,55.9,21,0,2.91,clear sky,2022-10-24 03:56:34
